REGIÓN,METROPOLITANA,DISTRITO,ESTACIÓN,BARRIO,ZONA,NRO INTEGRANTES,ESTADO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA FONTIBON,EL CARMEN,URBANA,25,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,MORAVIA,URBANA,15,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,INDUSTRIAL,URBANA,16,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,LA ROSITA,URBANA,21,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,CENTRO,URBANA,12,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,CAMBULOS,URBANA,14,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,BATAVIA,URBANA,22,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA FONTIBON,SAN PABLO,URBANA,18,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,BATAVIA,URBANA,30,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,BATAVIA,URBANA,23,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA FONTIBON,VILLEMAR E-9,URBANA,27,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,VILLEMAR,URBANA,20,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,FERROCAJA E-9,URBANA,22,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA FONTIBON,VERSALLES E-9,URBANA,30,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,ZELFITA,URBANA,25,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,FERROCAJA E-9,URBANA,20,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA FONTIBON,BOHIOS,URBANA,18,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 2,ESTACION DE POLICIA FONTIBON,VILLEMAR E-9,URBANA,24,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,SAN CRISTOBAL,URBANA,46,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,CONTADOR E-1,URBANA,16,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,CEDRITOS E-1,URBANA,20,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,CEDRITOS,URBANA,9,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,SAN PATRICIO E-1,URBANA,25,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,SANTA ANA,URBANA,17,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,CHICO NAVARRA,URBANA,12,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,SANTA ANA,URBANA,9,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,CEDRITOS E-1,URBANA,18,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,SAN CRISTOBAL NORTE,URBANA,7,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,EL TOBERIN E-1,URBANA,35,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,BABILONIA E-1,URBANA,14,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,LA CITA,URBANA,20,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,BARRANCAS E-1,URBANA,23,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,VILLA MAGDALA E-1,URBANA,25,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,LA URIBE,URBANA,15,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,ALTABLANCA,URBANA,30,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,CEDRO GOLF E-1,URBANA,24,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,MULTICENTRO E-1,URBANA,35,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,SANTA BARBARA II,URBANA,18,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,SANTA BARBARA E-1,URBANA,42,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,SANTA BARBARA E-1,URBANA,5,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 1,ESTACION DE POLICIA USAQUEN,SANTA BARBARA E-1,URBANA,35,ACTIVO
REGION DE POLICIA No. UNO,METROPOLITANA DE BOGOTA,COMANDO OPERATIVO DE SEGURIDAD CIUDADANA NRO. 3,ESTACION DE POLICIA ENGATIVA,NORMANDIA E-10,URBANA,13,ACTIVO
