FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,DESCRIPCION_CONDUCTA,ZONA,CANTIDAD
24/02/2006,25,CUNDINAMARCA,25123,CACHIPAY,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
04/03/2006,25,CUNDINAMARCA,25878,VIOTA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
05/03/2006,25,CUNDINAMARCA,25878,VIOTA,ARTICULO 339. DAÑOS EN LOS RECURSOS NATURALES (MODALIDAD CULPOSA),URBANA,1
24/03/2006,25,CUNDINAMARCA,25320,GUADUAS,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
03/04/2006,25,CUNDINAMARCA,25368,JERUSALEN,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
07/04/2006,25,CUNDINAMARCA,25596,QUIPILE,ARTICULO 339. DAÑOS EN LOS RECURSOS NATURALES (MODALIDAD CULPOSA),RURAL,1
10/04/2006,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
12/04/2006,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
19/04/2006,25,CUNDINAMARCA,25815,TOCAIMA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
06/05/2006,25,CUNDINAMARCA,25245,EL COLEGIO,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
10/05/2006,25,CUNDINAMARCA,25875,VILLETA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
12/05/2006,25,CUNDINAMARCA,25841,UBAQUE,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,URBANA,1
17/05/2006,25,CUNDINAMARCA,25878,VIOTA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
20/05/2006,25,CUNDINAMARCA,25797,TENA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
22/05/2006,25,CUNDINAMARCA,25758,SOPO,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
24/05/2006,25,CUNDINAMARCA,25245,EL COLEGIO,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
24/05/2006,25,CUNDINAMARCA,25658,SAN FRANCISCO,ARTICULO 339. DAÑOS EN LOS RECURSOS NATURALES (MODALIDAD CULPOSA),RURAL,1
25/05/2006,25,CUNDINAMARCA,25407,LENGUAZAQUE,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
26/05/2006,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,RURAL,1
31/05/2006,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
31/05/2006,25,CUNDINAMARCA,25326,GUATAVITA,ARTICULO 335. ILICITA ACTIVIDAD DE PESCA,RURAL,1
03/06/2006,25,CUNDINAMARCA,25402,LA VEGA,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,URBANA,1
08/06/2006,25,CUNDINAMARCA,25841,UBAQUE,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
22/06/2006,25,CUNDINAMARCA,25407,LENGUAZAQUE,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
24/06/2006,25,CUNDINAMARCA,25095,BITUIMA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
30/06/2006,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,RURAL,1
14/07/2006,25,CUNDINAMARCA,25307,GIRARDOT,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
28/07/2006,25,CUNDINAMARCA,25095,BITUIMA,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
28/07/2006,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,ARTICULO 336. CAZA ILEGAL,URBANA,1
30/07/2006,25,CUNDINAMARCA,25645,SAN ANTONIO DEL TEQUENDAMA,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,RURAL,1
17/08/2006,25,CUNDINAMARCA,25875,VILLETA,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,URBANA,1
24/08/2006,25,CUNDINAMARCA,25843,VILLA DE SAN DIEGO DE UBATE,ARTICULO 328. ILICITO APROVECHAMIENTO DE LOS RECURSOS NATURALES RENOVABLES,RURAL,1
29/08/2006,25,CUNDINAMARCA,25596,QUIPILE,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,RURAL,1
13/09/2006,25,CUNDINAMARCA,25799,TENJO,ARTICULO 331. DAÑOS EN LOS RECURSOS NATURALES,RURAL,1
07/10/2006,25,CUNDINAMARCA,25745,SIMIJACA,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,RURAL,1
14/10/2006,25,CUNDINAMARCA,25181,CHOACHI,ARTICULO 336. CAZA ILEGAL,RURAL,1
14/10/2006,25,CUNDINAMARCA,25290,FUSAGASUGA,ARTICULO 336. CAZA ILEGAL,RURAL,1
20/10/2006,25,CUNDINAMARCA,25183,CHOCONTA,ARTICULO 336. CAZA ILEGAL,URBANA,1
24/10/2006,25,CUNDINAMARCA,25572,PUERTO SALGAR,ARTICULO 338. EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,RURAL,1
